Gene AMY1A ANAPC11 ANKRD20A3 ANXA8L1 AREG ARL17B ATG4B AURKAIP1 BOLA2B BTNL8 C16orf54 C4B C6orf124 CBWD3 CCL3 CCL4 CCR2 CCR5 CCRL2 CDC37P1 CFC1 CKMT1A CLEC18A CR1 CSH D2HGDH DEFA1 DEFB103A DEFB104A DEFB105A DEFB106A DEFB107A DEFB130 DGAT1 DHRS4 DTYMK DUX4 EIF3C ELA FAM203A FAM21B FAM23A FAM72A FAM75A1 FAM75A5 FAM90A FCGBP FCGR FOXD4L2 FUSIP1 GOLGA6L9 GOLGA8G GSTM GSTT2 GTF2H2C GUSBP1 HGD HIST2 HP HRNR KIF22 KIR2DL2 KIR2DL4 KIR2DL5A KIR2DS2 KIR3DP1 KLRC2 KPNA2 KRT39 KRT40 KRTAP1-1 KRTAP2-1 KRTAP3-1 KRTAP4-1 KRTAP5-1 KRTAP7-1 KRTAP8-1 KRTAP9-1 LCE2 LIMS3 LOC100506776 LOC23117 LOC653606 LOC727800 LOC728932 LPA MAFG MGC59937 MRC1 MUC12 MUC5AC NBPF10 NBPF11 NBPF16 NDUFB4 NEB NPB NPIP ORM1 P4HB PCYT2 PGA3 PLGLB2 PPIAP21 PRAMEF14 PRAMEF20 PRAMEF5 PRAMEF8 PRR11 PRR20A_2 PRR20A_1 PSG3 PTPN20A PYCR1 REXO1L1_1 REXO1L1_2 RGPD1 RGPD6 RPS17 RSPH10B SCRT1 SCXB SERF1B SFTPA1 SIRT7 SLX1B SMN2 SNAR-A1 SPAG11 SPDYE3 SULT1A1 SULT1A3 TAS1R3 TBC1D3_1 TBC1D3_2 TCEB3C THAP4 TMEM106A TMEM167B TMPRSS11E TP53TG3 TRIM49L1 UGT2B15 USP17 ZFP62 ZG16 ZNF658B 
CHB 10 2 30 6 2 7 2 3 8 3 2 7 2 10 7 7 2 2 2 13 5 5 8 3 8 2 5 4 4 4 4 4 5 2 5 2 442 4 4 2 4 2 7 13 12 67 4 5 11 3 33 33 4 2 4 14 2 9 4 2 2 8 5 9 9 8 4 3 2 2 1 2 5 2 2 2 2 3 3 6 2 53 6 2 4 6 3 3 2 9 3 300 51 50 2 2 2 47 4 2 2 7 8 47 9 7 18 6 8 19 19 23 4 3 147 151 13 14 3 4 2 2 4 4 3 7 4 58 4 37 4 7 3 41 43 26 2 2 2 2 4 14 2 151 2 1 6 
CHB 13 3 28 5 2 7 2 3 8 2 2 5 2 11 2 4 2 2 2 16 4 5 5 3 9 3 8 2 2 2 2 2 4 3 5 2 352 3 4 3 4 2 6 15 12 25 5 5 12 2 29 28 4 2 5 14 2 10 3 1 2 8 3 10 9 10 4 4 2 2 1 2 5 2 2 2 2 3 4 6 2 54 7 2 4 4 3 3 2 14 3 252 55 37 3 2 2 51 4 2 3 10 7 46 9 6 19 6 8 16 17 15 4 3 159 158 13 15 3 4 2 3 3 4 3 8 4 47 3 41 8 7 2 37 32 23 2 2 2 2 4 10 2 143 1 2 6 
CHB 6 2 31 5 2 11 2 2 7 2 3 4 2 13 5 5 2 2 2 20 4 5 8 5 7 2 7 5 5 5 5 5 6 3 5 2 443 5 4 2 4 2 8 14 13 77 7 4 17 3 32 33 2 5 3 14 2 9 5 1 2 10 2 7 9 5 4 3 2 2 2 2 5 2 2 2 2 3 4 5 3 49 7 2 4 7 2 2 2 14 2 316 43 42 2 2 2 52 4 2 3 8 8 51 16 8 19 6 9 18 16 13 4 3 186 189 13 13 3 4 2 6 4 3 2 9 4 69 5 30 4 8 2 40 40 29 2 2 2 2 5 13 3 182 3 2 7 
CHB 11 2 29 4 2 5 2 3 7 2 2 5 2 13 4 5 2 2 2 18 4 4 7 4 7 2 7 4 6 5 5 5 5 2 5 2 465 5 4 2 4 2 9 15 13 45 6 4 15 3 31 31 4 3 4 16 2 9 4 3 2 9 4 8 8 8 5 3 2 2 1 2 4 2 2 2 2 3 3 6 2 47 8 2 4 7 2 2 2 11 2 266 49 47 2 2 2 50 4 3 3 7 7 51 10 8 16 5 8 23 22 15 4 2 220 217 16 16 3 4 2 2 5 4 2 8 5 61 5 32 4 8 2 43 39 19 2 2 2 2 8 14 2 119 2 3 7 
CHB 12 2 33 5 2 3 2 3 7 2 2 5 2 16 6 5 2 2 2 28 4 5 8 3 7 2 7 3 4 3 3 3 6 2 5 2 435 5 4 2 5 2 8 16 15 22 7 5 18 3 32 30 4 3 4 16 2 9 4 1 2 11 4 10 10 9 4 3 2 2 2 2 5 2 2 2 2 3 4 6 3 48 5 1 4 6 2 2 2 12 2 268 49 51 2 2 2 50 4 2 3 9 8 50 14 9 13 7 9 17 16 16 4 3 155 158 14 14 3 4 2 3 4 4 2 9 4 82 3 31 8 8 2 31 30 24 2 2 2 2 5 17 4 156 3 3 9 
CHB 13 2 29 5 2 7 2 2 6 2 2 4 2 12 13 6 2 2 2 20 4 4 7 3 8 2 6 4 4 4 4 4 5 2 5 2 297 5 3 2 5 2 8 12 10 53 6 4 13 3 28 27 3 5 4 12 2 9 5 1 2 11 4 9 10 9 4 3 2 2 2 2 4 2 2 2 2 3 4 6 2 46 7 1 4 4 2 2 2 13 2 188 49 45 2 2 2 48 3 2 3 7 8 63 13 8 15 5 9 10 10 14 4 3 143 135 15 14 3 4 2 1 4 4 2 7 4 66 5 33 2 7 3 40 37 23 2 2 2 2 7 16 2 119 2 2 5 
CHB 8 2 31 4 2 5 2 3 5 2 2 5 2 15 3 4 2 2 2 13 5 5 8 4 7 2 6 4 4 4 4 4 6 3 5 2 511 5 4 3 4 2 7 12 14 69 6 4 17 3 32 34 5 2 4 13 2 9 4 3 2 9 4 9 8 8 5 4 2 2 2 2 4 2 2 2 2 4 3 5 2 49 4 2 4 7 3 3 2 10 3 350 50 46 2 2 2 45 4 3 2 7 8 43 12 8 13 5 7 8 8 15 4 3 169 177 14 15 3 4 2 6 3 4 3 5 3 51 3 33 4 5 2 43 45 29 2 2 2 2 8 13 4 183 2 2 9 
CHB 17 2 29 4 2 3 2 3 6 3 3 5 2 13 6 6 2 2 2 23 5 5 8 4 8 2 7 3 3 3 3 3 6 3 5 2 553 4 4 2 4 2 8 11 12 34 6 4 13 3 34 31 3 4 4 15 2 9 5 2 2 10 4 8 9 8 5 3 2 2 2 2 4 2 2 2 2 4 4 6 2 45 5 2 4 7 2 3 2 13 3 328 51 55 2 3 2 48 4 2 2 8 7 55 19 7 15 9 7 12 11 15 4 3 160 172 16 14 3 4 2 4 4 4 2 6 3 54 3 34 4 7 2 27 29 26 2 2 2 2 7 15 2 176 2 2 7 
CHB 7 2 29 4 2 10 2 3 7 3 2 5 2 12 2 4 2 2 2 20 4 4 6 3 7 2 7 4 4 5 5 5 5 2 5 2 402 4 4 2 4 2 7 10 10 59 6 4 13 3 30 31 4 4 4 9 2 8 4 1 2 8 4 8 8 7 4 3 2 2 2 2 5 2 2 2 2 3 3 5 2 47 6 2 4 5 2 2 2 10 2 285 49 49 2 2 2 48 5 2 2 8 7 48 12 7 17 6 7 15 15 15 3 2 157 168 13 14 3 4 2 1 2 4 2 7 2 56 4 31 7 7 3 28 25 36 2 2 2 2 7 12 2 77 2 2 8 
CHB 11 2 29 4 2 6 2 3 6 3 2 5 2 12 1 3 2 2 2 19 4 4 7 4 7 2 6 3 4 3 3 4 4 3 5 2 406 4 3 2 4 2 8 12 11 47 6 3 14 3 30 31 4 4 3 17 2 8 4 1 2 9 5 8 8 8 4 3 2 2 1 2 4 2 2 2 2 3 4 6 2 48 5 2 4 6 2 3 2 12 2 295 45 42 2 2 2 47 4 2 2 12 7 44 11 6 13 5 8 21 18 14 4 3 194 205 14 13 3 4 2 2 4 3 2 6 4 54 3 30 4 7 3 29 24 34 2 2 2 2 5 13 2 127 2 2 6 
CHB 10 2 31 4 2 9 2 2 6 3 2 3 2 12 12 9 2 2 2 12 4 4 8 4 7 2 6 5 5 5 5 5 5 2 4 2 358 4 4 2 4 2 7 13 13 68 7 4 15 3 30 29 4 3 3 11 2 9 2 3 2 13 3 11 12 9 4 3 2 2 2 2 5 2 2 2 2 3 4 5 3 45 5 1 4 6 2 2 2 10 2 238 49 49 2 2 2 46 4 2 2 9 7 52 11 8 12 6 9 16 16 14 4 3 194 173 14 14 3 4 2 3 3 4 2 7 3 32 6 31 4 6 2 57 54 20 2 2 2 2 6 14 2 153 2 2 6 
CHB 9 2 30 4 2 3 2 2 7 2 2 5 2 11 12 8 2 2 2 25 4 4 7 3 7 2 8 3 4 3 3 3 5 2 5 2 416 5 4 2 4 2 8 15 13 34 6 5 13 3 31 31 3 3 4 11 2 8 4 1 2 10 4 8 8 8 5 3 2 2 2 2 4 2 2 2 2 3 3 5 2 50 5 2 4 6 2 2 2 13 2 274 46 46 2 2 2 47 5 3 2 8 8 51 12 8 16 6 8 9 9 14 4 2 167 173 15 14 2 4 2 2 4 4 2 8 4 54 3 33 6 7 2 53 49 25 2 2 2 2 8 14 2 136 2 3 5 
CHB 12 2 30 4 2 5 2 2 6 2 3 3 2 14 6 6 2 2 2 7 4 4 8 4 7 2 11 5 5 5 5 5 6 3 5 2 400 4 4 2 5 2 7 14 14 66 7 4 15 3 28 31 5 2 4 14 2 9 4 2 2 9 4 9 8 9 4 3 2 2 2 2 4 2 2 2 2 3 4 6 2 44 5 1 4 6 2 2 2 10 2 223 49 47 2 2 2 48 4 2 3 12 7 45 9 8 12 4 9 13 13 15 4 2 145 145 15 16 3 4 2 2 4 4 2 6 4 67 5 29 2 7 3 49 46 23 2 2 2 2 8 15 2 90 2 2 7 
CHB 12 2 30 5 2 7 2 3 5 3 2 7 2 12 4 5 2 2 2 14 4 5 7 4 8 2 10 5 6 5 5 5 5 2 5 2 335 5 4 2 5 2 8 13 10 58 6 4 14 3 30 30 3 5 5 14 2 9 3 1 2 9 4 7 8 9 5 3 2 2 1 2 4 2 2 2 2 3 4 7 2 47 5 1 4 5 2 2 2 11 2 234 47 46 2 2 2 46 4 2 3 8 8 56 15 9 12 6 10 15 14 14 4 3 162 151 15 15 3 4 3 2 4 4 2 6 4 74 6 31 6 5 2 44 44 35 2 2 2 2 6 17 2 129 2 3 7 
CHB 17 2 29 4 2 3 2 3 7 2 2 8 2 11 7 8 3 2 2 16 4 4 7 3 7 2 6 4 5 4 4 5 5 3 5 2 529 4 4 2 4 2 7 12 11 67 5 3 12 2 30 36 2 2 5 19 2 9 3 3 2 9 4 9 10 7 4 3 2 2 2 2 4 2 2 2 2 3 4 5 2 52 6 1 4 6 2 3 2 14 3 362 52 43 2 2 2 47 4 2 2 10 8 48 11 5 20 6 8 11 11 14 3 2 157 173 13 13 3 4 2 3 5 4 2 7 5 49 4 32 4 8 2 43 40 22 2 2 2 2 8 11 3 150 2 2 6 
