Gene AMY1A ANAPC11 ANKRD20A3 ANXA8L1 AREG ARL17B ATG4B AURKAIP1 BOLA2B BTNL8 C16orf54 C4B C6orf124 CBWD3 CCL3 CCL4 CCR2 CCR5 CCRL2 CDC37P1 CFC1 CKMT1A CLEC18A CR1 CSH D2HGDH DEFA1 DEFB103A DEFB104A DEFB105A DEFB106A DEFB107A DEFB130 DGAT1 DHRS4 DTYMK DUX4 EIF3C ELA FAM203A FAM21B FAM23A FAM72A FAM75A1 FAM75A5 FAM90A FCGBP FCGR FOXD4L2 FUSIP1 GOLGA6L9 GOLGA8G GSTM GSTT2 GTF2H2C GUSBP1 HGD HIST2 HP HRNR KIF22 KIR2DL2 KIR2DL4 KIR2DL5A KIR2DS2 KIR3DP1 KLRC2 KPNA2 KRT39 KRT40 KRTAP1-1 KRTAP2-1 KRTAP3-1 KRTAP4-1 KRTAP5-1 KRTAP7-1 KRTAP8-1 KRTAP9-1 LCE2 LIMS3 LOC100506776 LOC23117 LOC653606 LOC727800 LOC728932 LPA MAFG MGC59937 MRC1 MUC12 MUC5AC NBPF10 NBPF11 NBPF16 NDUFB4 NEB NPB NPIP ORM1 P4HB PCYT2 PGA3 PLGLB2 PPIAP21 PRAMEF14 PRAMEF20 PRAMEF5 PRAMEF8 PRR11 PRR20A_2 PRR20A_1 PSG3 PTPN20A PYCR1 REXO1L1_1 REXO1L1_2 RGPD1 RGPD6 RPS17 RSPH10B SCRT1 SCXB SERF1B SFTPA1 SIRT7 SLX1B SMN2 SNAR-A1 SPAG11 SPDYE3 SULT1A1 SULT1A3 TAS1R3 TBC1D3_1 TBC1D3_2 TCEB3C THAP4 TMEM106A TMEM167B TMPRSS11E TP53TG3 TRIM49L1 UGT2B15 USP17 ZFP62 ZG16 ZNF658B 
CHB 5 2 29 4 2 6 2 2 7 2 3 5 2 11 7 7 2 2 2 13 3 5 6 3 7 2 6 2 2 2 2 2 5 3 6 2 477 4 3 2 4 2 8 12 11 38 6 4 13 3 31 32 4 3 5 14 2 7 4 3 2 9 4 9 10 8 4 3 2 2 1 2 5 2 2 2 1 3 4 6 2 47 6 2 4 6 2 2 2 11 2 332 41 43 2 2 2 50 3 2 3 8 7 45 13 8 18 6 8 17 15 14 3 3 218 229 12 13 3 4 2 3 4 3 2 7 4 55 2 30 4 7 2 34 35 21 2 2 2 2 8 13 2 148 2 1 6 
CHB 8 2 28 4 2 6 2 3 6 2 2 5 2 12 7 6 2 2 2 14 4 4 7 3 7 2 9 3 4 4 4 4 5 3 5 2 430 5 4 2 4 2 7 12 10 38 5 6 13 3 25 29 3 3 4 13 2 8 4 4 2 9 4 8 8 7 4 3 2 2 1 2 4 2 2 2 2 3 3 5 2 47 5 2 4 6 2 2 2 14 3 294 52 48 2 2 2 50 4 2 2 10 7 48 10 7 13 5 8 14 12 15 4 2 156 174 13 14 3 4 2 3 4 4 2 6 4 66 4 31 4 7 2 25 23 24 2 2 2 2 8 13 3 156 2 2 6 
CHB 8 2 29 4 2 6 2 3 7 2 2 4 2 12 9 7 2 3 2 6 4 5 7 3 8 2 4 4 4 4 4 4 5 3 4 3 362 4 3 2 4 2 6 13 12 52 7 5 15 3 33 33 2 2 4 13 2 9 4 2 2 9 5 9 9 10 4 4 2 2 2 2 4 2 2 2 2 3 3 5 3 46 7 2 4 8 3 2 2 12 2 266 48 45 3 2 2 51 4 2 3 8 7 54 10 8 19 5 9 14 14 15 3 3 165 163 12 14 3 4 2 3 4 4 3 7 4 68 4 35 4 7 3 46 47 32 2 2 2 2 7 15 2 133 2 2 6 
CHB 16 2 33 5 2 3 2 3 7 3 2 5 2 14 9 6 2 2 2 11 4 5 11 3 7 2 7 4 5 4 4 4 5 2 5 3 453 4 3 2 5 2 8 16 14 62 5 4 15 3 32 28 3 3 4 13 2 10 4 3 2 11 4 11 11 8 4 3 2 2 2 2 5 2 2 2 2 3 4 5 2 54 7 2 4 4 2 2 2 11 2 281 50 45 3 2 2 51 4 2 3 8 7 49 12 8 15 6 9 11 10 14 4 2 168 169 15 15 3 4 2 2 4 4 2 7 4 45 5 34 4 7 3 57 51 44 2 2 2 2 4 13 2 189 2 2 7 
CHB 10 2 31 5 2 7 2 2 5 2 2 5 2 12 7 5 2 2 2 19 4 5 9 3 8 2 8 6 6 6 5 6 6 3 5 2 401 5 4 3 5 2 8 16 15 76 6 4 14 3 31 30 3 2 4 15 2 10 4 2 2 9 4 8 8 9 4 3 2 2 2 2 5 2 2 2 2 3 4 6 3 50 7 2 4 6 2 2 2 10 2 257 48 46 2 2 2 48 4 2 3 8 7 51 11 9 19 6 10 8 7 15 4 3 151 149 14 14 3 4 2 2 4 4 2 7 4 73 6 33 3 5 3 48 50 21 2 2 2 2 9 17 2 133 2 2 7 
CHB 13 2 32 4 2 9 2 2 7 2 2 5 2 17 12 8 2 2 2 24 4 5 8 3 8 2 6 6 6 6 5 6 5 2 5 2 298 4 4 2 5 2 7 18 14 78 7 4 18 3 28 27 4 3 4 13 2 10 3 3 2 10 4 10 10 10 4 4 2 2 2 2 5 2 2 2 2 4 4 6 2 54 7 2 5 5 2 3 2 11 3 179 54 42 3 2 2 50 4 2 3 7 8 47 10 8 15 6 9 12 14 14 4 3 172 151 15 15 3 4 2 1 4 4 2 9 5 52 7 36 6 8 3 41 35 31 2 2 2 2 9 12 2 130 2 2 5 
CHB 9 2 29 4 2 8 2 2 6 2 2 4 2 10 6 4 2 2 2 18 4 4 10 3 7 2 6 3 3 3 3 3 5 3 5 2 405 5 3 2 4 2 8 13 13 21 7 2 12 3 29 31 3 3 3 15 2 9 4 3 2 9 4 9 9 8 3 3 2 2 2 2 5 2 2 2 2 3 4 6 2 50 4 2 4 6 2 2 2 13 2 276 53 46 2 2 2 48 4 2 2 7 7 45 13 7 12 6 8 14 16 15 3 3 196 191 13 13 3 4 2 2 4 4 2 6 4 48 3 31 4 6 3 42 40 22 2 2 2 2 5 14 2 138 2 2 6 
CHB 19 2 29 4 2 8 2 2 6 2 2 4 2 12 4 4 2 2 2 12 4 4 7 3 8 2 5 4 4 4 4 4 5 2 5 2 449 4 4 2 4 2 8 14 12 74 4 4 14 3 26 29 4 3 4 14 2 9 4 3 2 8 4 8 8 8 3 3 2 2 1 2 4 2 2 2 2 3 4 5 2 47 7 2 4 6 2 2 2 14 2 227 49 46 2 2 2 46 4 2 3 8 7 47 12 8 16 5 9 11 12 14 4 2 117 119 15 14 3 4 2 2 4 4 2 7 4 77 4 33 4 6 2 41 40 28 2 2 2 2 6 13 2 130 2 2 6 
CHB 14 2 28 4 2 8 2 2 6 2 2 5 2 14 5 4 2 2 2 6 4 4 8 3 7 2 5 6 6 6 6 6 5 3 5 2 308 4 3 2 4 2 7 16 14 76 4 4 14 3 26 27 4 2 4 11 2 10 4 2 2 8 4 8 8 10 4 3 2 2 2 2 5 2 2 2 2 3 4 6 3 47 7 2 4 4 2 2 2 12 2 188 56 52 2 2 2 47 5 2 2 10 7 50 12 8 18 6 8 17 18 15 4 2 129 123 16 15 3 4 2 1 4 4 2 6 4 69 6 29 4 7 2 45 44 21 2 2 2 2 8 14 2 110 2 2 8 
CHB 12 2 31 4 2 6 2 2 6 2 2 4 2 14 9 6 2 2 2 20 4 5 11 4 7 2 8 6 7 6 6 6 5 2 4 2 336 5 4 2 5 2 8 16 12 64 5 5 16 3 25 28 3 3 5 14 2 9 5 1 2 10 4 8 9 10 4 3 2 2 2 2 4 2 2 2 2 3 4 6 2 52 7 1 4 6 2 2 2 10 2 190 50 52 2 2 2 53 6 2 3 10 7 50 11 9 19 6 8 16 15 15 4 2 128 126 16 16 3 4 2 1 4 4 2 7 4 82 7 33 4 7 2 47 47 29 2 2 2 2 6 15 2 115 2 2 7 
